Fermi_Name,Name,MET(s),Ra,Dec,Pos_error,T90(s),T90_error
GRB231214850,GRB231214A,724278269.685,306.1,-72.4,0.2,20.992,0.572
GRB231222310,GRB231222B,724922767.193,251.35,19.55,0.3,120.834,1.639
GRB240118075,GRB240118A,727235294.44,18.57,29.79,0.05,54.017,0.362
GRB240513307,GRB240513A,737277727.551,163.4,-27.5,0.4,6.941,1.063
GRB240527586,GRB240527B,738511436.504,128.1,-14.48,0.19,24.832,0.81
GRB240718270,GRB240718A,742976945.434,252.78,-25.11,0.23,58.625,0.81
GRB240805085,GRB240805A,744516145.309,190.45,-54.02,0.45,10.752,0.362
GRB240825662,GRB240825A,746293985.085,344.56,1.04,0.07,3.968,0.091
GRB240828622,GRB240828A,746549711.83,225.49,36.64,0.3,41.217,0.724
GRB240905186,GRB240905B,747203241.14,268.0,14.2,0.2,1.28,0.202
GRB241008917,GRB241008A,750117609.348,112.84,-9.4,0.23,52.737,2.111
GRB241030242,GRB241030A,751960088.327,343.0,80.4,0.2,165.635,1.28
GRB241204152,GRB241204A,754976367.515,316.5,6.55,0.5,0.768,0.143
